scenarioId,trailId,simulationId,timeStamp,deviceId,action,meta,eventId,step,error
s3p,1,tictoc-c10807bd,2021-09-17T12:07:30.100258945+02:00,consumer,Compress,source,0x5d2e5bcc,1,
s3p,1,tictoc-c10807bd,2021-09-17T12:07:30.179298106+02:00,consumer,Compress,source,0x5d2e5bcc,2,
s3p,1,tictoc-c10807bd,2021-09-17T12:07:31.298777+02:00,patricks-mbp-a0075c1a,Compile,darwin_amd64,0x38e6e55,1,
s3p,1,tictoc-c10807bd,2021-09-17T12:07:37.735021+02:00,patricks-mbp-a0075c1a,Compile,darwin_amd64,0x38e6e55,2,
s3p,1,tictoc-c10807bd,2021-09-17T12:07:37.762293+02:00,patricks-mbp-a0075c1a,Compress,binary/darwin_amd64.tgz,0x91bd0688,1,
s3p,1,tictoc-c10807bd,2021-09-17T12:07:37.857609+02:00,patricks-mbp-a0075c1a,Compress,binary/darwin_amd64.tgz,0x91bd0688,2,
s3p,1,tictoc-c10807bd,2021-09-17T12:07:40.524541+02:00,patricks-mbp-a0075c1a,Compress,results/TicToc18_1.tgz,0xbabb3e35,1,
s3p,1,tictoc-c10807bd,2021-09-17T12:07:40.530829+02:00,patricks-mbp-a0075c1a,Compress,results/TicToc18_0.tgz,0x5169f562,1,
s3p,1,tictoc-c10807bd,2021-09-17T12:07:40.541237+02:00,patricks-mbp-a0075c1a,Compress,results/TicToc18_2.tgz,0x471c5a6f,1,
s3p,1,tictoc-c10807bd,2021-09-17T12:07:40.560425+02:00,patricks-mbp-a0075c1a,Compress,results/TicToc18_3.tgz,0xb1397dda,1,
s3p,1,tictoc-c10807bd,2021-09-17T12:07:40.578494+02:00,patricks-mbp-a0075c1a,Compress,results/TicToc18_1.tgz,0xbabb3e35,2,
s3p,1,tictoc-c10807bd,2021-09-17T12:07:40.581878+02:00,patricks-mbp-a0075c1a,Compress,results/TicToc18_2.tgz,0x471c5a6f,2,
s3p,1,tictoc-c10807bd,2021-09-17T12:07:40.578862+02:00,patricks-mbp-a0075c1a,Compress,results/TicToc18_0.tgz,0x5169f562,2,
s3p,1,tictoc-c10807bd,2021-09-17T12:07:40.60952+02:00,patricks-mbp-a0075c1a,Compress,results/TicToc18_3.tgz,0xb1397dda,2,
s3p,1,tictoc-c10807bd,2021-09-17T12:07:40.713004926+02:00,consumer,Extract,results/TicToc18_1.tgz,0x35cb5b01,1,
s3p,1,tictoc-c10807bd,2021-09-17T12:07:40.735957681+02:00,consumer,Extract,results/TicToc18_1.tgz,0x35cb5b01,2,
s3p,1,tictoc-c10807bd,2021-09-17T12:07:40.872928938+02:00,consumer,Extract,results/TicToc18_2.tgz,0xa87cc2e7,1,
s3p,1,tictoc-c10807bd,2021-09-17T12:07:40.898690752+02:00,consumer,Extract,results/TicToc18_2.tgz,0xa87cc2e7,2,
s3p,1,tictoc-c10807bd,2021-09-17T12:07:41.032505035+02:00,consumer,Extract,results/TicToc18_0.tgz,0xd1274b65,1,
s3p,1,tictoc-c10807bd,2021-09-17T12:07:41.059731111+02:00,consumer,Extract,results/TicToc18_0.tgz,0xd1274b65,2,
s3p,1,tictoc-c10807bd,2021-09-17T12:07:41.193499406+02:00,consumer,Extract,results/TicToc18_3.tgz,0x1f989e25,1,
s3p,1,tictoc-c10807bd,2021-09-17T12:07:41.218272536+02:00,consumer,Extract,results/TicToc18_3.tgz,0x1f989e25,2,
s3p,1,tictoc-c10807bd,2021-09-17T12:07:42.80958+02:00,patricks-mbp-a0075c1a,Compress,results/TicToc18_4.tgz,0xd45ce186,1,
s3p,1,tictoc-c10807bd,2021-09-17T12:07:42.802425+02:00,patricks-mbp-a0075c1a,Compress,results/TicToc18_5.tgz,0x6d18fd95,1,
s3p,1,tictoc-c10807bd,2021-09-17T12:07:42.817403+02:00,patricks-mbp-a0075c1a,Compress,results/TicToc18_7.tgz,0x61c966c2,1,
s3p,1,tictoc-c10807bd,2021-09-17T12:07:42.826485+02:00,patricks-mbp-a0075c1a,Compress,results/TicToc18_6.tgz,0x781d3d8,1,
s3p,1,tictoc-c10807bd,2021-09-17T12:07:42.86185+02:00,patricks-mbp-a0075c1a,Compress,results/TicToc18_5.tgz,0x6d18fd95,2,
s3p,1,tictoc-c10807bd,2021-09-17T12:07:42.861756+02:00,patricks-mbp-a0075c1a,Compress,results/TicToc18_4.tgz,0xd45ce186,2,
s3p,1,tictoc-c10807bd,2021-09-17T12:07:42.867756+02:00,patricks-mbp-a0075c1a,Compress,results/TicToc18_6.tgz,0x781d3d8,2,
s3p,1,tictoc-c10807bd,2021-09-17T12:07:42.863092+02:00,patricks-mbp-a0075c1a,Compress,results/TicToc18_7.tgz,0x61c966c2,2,
s3p,1,tictoc-c10807bd,2021-09-17T12:07:43.017193567+02:00,consumer,Extract,results/TicToc18_5.tgz,0xa35556df,1,
s3p,1,tictoc-c10807bd,2021-09-17T12:07:43.049918355+02:00,consumer,Extract,results/TicToc18_5.tgz,0xa35556df,2,
s3p,1,tictoc-c10807bd,2021-09-17T12:07:43.186720544+02:00,consumer,Extract,results/TicToc18_4.tgz,0xffbad6ab,1,
s3p,1,tictoc-c10807bd,2021-09-17T12:07:43.208981614+02:00,consumer,Extract,results/TicToc18_4.tgz,0xffbad6ab,2,
s3p,1,tictoc-c10807bd,2021-09-17T12:07:43.340866547+02:00,consumer,Extract,results/TicToc18_7.tgz,0xe64879b3,1,
s3p,1,tictoc-c10807bd,2021-09-17T12:07:43.365669051+02:00,consumer,Extract,results/TicToc18_7.tgz,0xe64879b3,2,
s3p,1,tictoc-c10807bd,2021-09-17T12:07:43.497400695+02:00,consumer,Extract,results/TicToc18_6.tgz,0x73aa588e,1,
s3p,1,tictoc-c10807bd,2021-09-17T12:07:43.523230918+02:00,consumer,Extract,results/TicToc18_6.tgz,0x73aa588e,2,
s3p,1,tictoc-c10807bd,2021-09-17T12:07:45.098952+02:00,patricks-mbp-a0075c1a,Compress,results/TicToc18_9.tgz,0xed2d2a5d,1,
