scenarioId,trailId,simulationId,timeStamp,providerId,eventId,step,direction,file,transferred,error
s5p,2,tictoc-71a97eaa,2021-09-17T12:15:57.341543653+02:00,patricks-mbp-73b9546e,0xddc10009,1,Upload,source.tgz,0,
s5p,2,tictoc-71a97eaa,2021-09-17T12:15:57.657848554+02:00,patricks-mbp-73b9546e,0xddc10009,2,Upload,source.tgz,489474,
s5p,2,tictoc-71a97eaa,2021-09-17T12:16:04.800434014+02:00,patricks-mbp-73b9546e,0xa1e35020,1,Download,binary/darwin_amd64.tgz,0,
s5p,2,tictoc-71a97eaa,2021-09-17T12:16:05.095866274+02:00,patricks-mbp-73b9546e,0xa1e35020,2,Download,binary/darwin_amd64.tgz,356370,
s5p,2,tictoc-71a97eaa,2021-09-17T12:16:09.597779713+02:00,patricks-mbp-73b9546e,0xe3546cdd,1,Download,results/TicToc18_6.tgz,0,
s5p,2,tictoc-71a97eaa,2021-09-17T12:16:09.655285354+02:00,patricks-mbp-73b9546e,0xe3546cdd,2,Download,results/TicToc18_6.tgz,31429,
s5p,2,tictoc-71a97eaa,2021-09-17T12:16:09.740058808+02:00,patricks-mbp-73b9546e,0x66a18f81,1,Download,results/TicToc18_2.tgz,0,
s5p,2,tictoc-71a97eaa,2021-09-17T12:16:09.800653154+02:00,patricks-mbp-73b9546e,0x66a18f81,2,Download,results/TicToc18_2.tgz,32690,
s5p,2,tictoc-71a97eaa,2021-09-17T12:16:09.899738374+02:00,patricks-mbp-73b9546e,0x104e0067,1,Download,results/TicToc18_0.tgz,0,
s5p,2,tictoc-71a97eaa,2021-09-17T12:16:09.960414164+02:00,patricks-mbp-73b9546e,0x104e0067,2,Download,results/TicToc18_0.tgz,32487,
s5p,2,tictoc-71a97eaa,2021-09-17T12:16:10.060966471+02:00,patricks-mbp-73b9546e,0x348973f,1,Download,results/TicToc18_1.tgz,0,
s5p,2,tictoc-71a97eaa,2021-09-17T12:16:10.121679942+02:00,patricks-mbp-73b9546e,0x348973f,2,Download,results/TicToc18_1.tgz,33744,
s5p,2,tictoc-71a97eaa,2021-09-17T12:16:10.217174018+02:00,patricks-mbp-73b9546e,0xa26fdb5e,1,Download,results/TicToc18_5.tgz,0,
s5p,2,tictoc-71a97eaa,2021-09-17T12:16:10.282518585+02:00,patricks-mbp-73b9546e,0xa26fdb5e,2,Download,results/TicToc18_5.tgz,31916,
