scenarioId,trailId,simulationId,timeStamp,deviceId,action,meta,eventId,step,error
5,1,tictoc-6287581b,2021-09-15T12:38:58.973307092+02:00,consumer,Compress,source,0xbcccd42a,1,
5,1,tictoc-6287581b,2021-09-15T12:38:59.042868794+02:00,consumer,Compress,source,0xbcccd42a,2,
5,1,tictoc-6287581b,2021-09-15T10:39:02.9183693Z,patricks-mbp-9414c9f6,Compile,linux_amd64,0xe2d01c7f,1,
5,1,tictoc-6287581b,2021-09-15T10:39:08.8975126Z,patricks-mbp-9414c9f6,Compile,linux_amd64,0xe2d01c7f,2,
5,1,tictoc-6287581b,2021-09-15T10:39:08.9252034Z,patricks-mbp-9414c9f6,Compress,binary/linux_amd64.tgz,0x9a0cdad1,1,
5,1,tictoc-6287581b,2021-09-15T10:39:09.0428229Z,patricks-mbp-9414c9f6,Compress,binary/linux_amd64.tgz,0x9a0cdad1,2,
5,1,tictoc-6287581b,2021-09-15T10:39:17.7243794Z,patricks-mbp-9414c9f6,Compress,results/TicToc18_7.tgz,0x9f0ee213,1,
5,1,tictoc-6287581b,2021-09-15T10:39:17.7722785Z,patricks-mbp-9414c9f6,Compress,results/TicToc18_3.tgz,0x4bb592fc,1,
5,1,tictoc-6287581b,2021-09-15T10:39:17.784426Z,patricks-mbp-9414c9f6,Compress,results/TicToc18_7.tgz,0x9f0ee213,2,
5,1,tictoc-6287581b,2021-09-15T10:39:17.7905367Z,patricks-mbp-9414c9f6,Compress,results/TicToc18_0.tgz,0x1a6d3d2d,1,
5,1,tictoc-6287581b,2021-09-15T10:39:17.7998789Z,patricks-mbp-9414c9f6,Compress,results/TicToc18_1.tgz,0x1032c34e,1,
5,1,tictoc-6287581b,2021-09-15T10:39:17.7998044Z,patricks-mbp-9414c9f6,Compress,results/TicToc18_5.tgz,0xe4a6fd1b,1,
5,1,tictoc-6287581b,2021-09-15T10:39:17.847685Z,patricks-mbp-9414c9f6,Compress,results/TicToc18_2.tgz,0x4ffe4bfc,1,
5,1,tictoc-6287581b,2021-09-15T10:39:17.845502Z,patricks-mbp-9414c9f6,Compress,results/TicToc18_4.tgz,0xb96c1391,1,
5,1,tictoc-6287581b,2021-09-15T10:39:17.8640912Z,patricks-mbp-9414c9f6,Compress,results/TicToc18_0.tgz,0x1a6d3d2d,2,
5,1,tictoc-6287581b,2021-09-15T10:39:17.868268Z,patricks-mbp-9414c9f6,Compress,results/TicToc18_3.tgz,0x4bb592fc,2,
