scenarioId,trailId,simulationId,timeStamp,providerId,eventId,step,direction,file,transferred,error
s3r,0,tictoc-588997e3,2021-09-17T16:21:48.17839869+02:00,patricks-mbp-01601503,0x8ab44511,1,Upload,source.tgz,0,
s3r,0,tictoc-588997e3,2021-09-17T16:21:48.85866763+02:00,patricks-mbp-01601503,0x8ab44511,2,Upload,source.tgz,494281,
s3r,0,tictoc-588997e3,2021-09-17T16:21:57.953804292+02:00,patricks-mbp-01601503,0xc1447993,1,Download,binary/darwin_amd64.tgz,0,
s3r,0,tictoc-588997e3,2021-09-17T16:21:58.288840369+02:00,patricks-mbp-01601503,0xc1447993,2,Download,binary/darwin_amd64.tgz,365332,
s3r,0,tictoc-588997e3,2021-09-17T16:22:01.096575007+02:00,patricks-mbp-01601503,0xf10aef60,1,Download,results/TicToc18_3.tgz,0,
s3r,0,tictoc-588997e3,2021-09-17T16:22:01.184986933+02:00,patricks-mbp-01601503,0xf10aef60,2,Download,results/TicToc18_3.tgz,31653,
s3r,0,tictoc-588997e3,2021-09-17T16:22:01.297074654+02:00,patricks-mbp-01601503,0x26974303,1,Download,results/TicToc18_1.tgz,0,
s3r,0,tictoc-588997e3,2021-09-17T16:22:01.393489438+02:00,patricks-mbp-01601503,0x26974303,2,Download,results/TicToc18_1.tgz,33747,
s3r,0,tictoc-588997e3,2021-09-17T16:22:01.521792148+02:00,patricks-mbp-01601503,0x334d8a0a,1,Download,results/TicToc18_0.tgz,0,
s3r,0,tictoc-588997e3,2021-09-17T16:22:01.616269317+02:00,patricks-mbp-01601503,0x334d8a0a,2,Download,results/TicToc18_0.tgz,33111,
s3r,0,tictoc-588997e3,2021-09-17T16:22:01.716121085+02:00,patricks-mbp-01601503,0x8cff7288,1,Download,results/TicToc18_2.tgz,0,
s3r,0,tictoc-588997e3,2021-09-17T16:22:01.797812874+02:00,patricks-mbp-01601503,0x8cff7288,2,Download,results/TicToc18_2.tgz,32469,
s3r,0,tictoc-588997e3,2021-09-17T16:22:03.615115689+02:00,patricks-mbp-01601503,0xcaeabd64,1,Download,results/TicToc18_4.tgz,0,
s3r,0,tictoc-588997e3,2021-09-17T16:22:03.69816032+02:00,patricks-mbp-01601503,0xcaeabd64,2,Download,results/TicToc18_4.tgz,31047,
s3r,0,tictoc-588997e3,2021-09-17T16:22:03.815123628+02:00,patricks-mbp-01601503,0x33c232b1,1,Download,results/TicToc18_5.tgz,0,
s3r,0,tictoc-588997e3,2021-09-17T16:22:03.90168263+02:00,patricks-mbp-01601503,0x33c232b1,2,Download,results/TicToc18_5.tgz,32160,
