scenarioId,trailId,simulationId,timeStamp,deviceId,action,meta,eventId,step,error
s4p,2,tictoc-563b4e90,2021-09-17T12:12:48.848947641+02:00,consumer,Compress,source,0xd59e28d,1,
s4p,2,tictoc-563b4e90,2021-09-17T12:12:48.927449466+02:00,consumer,Compress,source,0xd59e28d,2,
s4p,2,tictoc-563b4e90,2021-09-17T12:12:50.884646+02:00,patricks-mbp-2201c4f1,Compile,darwin_amd64,0x13a12594,1,
s4p,2,tictoc-563b4e90,2021-09-17T12:12:57.281162+02:00,patricks-mbp-2201c4f1,Compile,darwin_amd64,0x13a12594,2,
s4p,2,tictoc-563b4e90,2021-09-17T12:12:57.305745+02:00,patricks-mbp-2201c4f1,Compress,binary/darwin_amd64.tgz,0x6e12ce4a,1,
s4p,2,tictoc-563b4e90,2021-09-17T12:12:57.396724+02:00,patricks-mbp-2201c4f1,Compress,binary/darwin_amd64.tgz,0x6e12ce4a,2,
s4p,2,tictoc-563b4e90,2021-09-17T12:13:01.017267+02:00,patricks-mbp-2201c4f1,Compress,results/TicToc18_4.tgz,0x9f804aa4,1,
s4p,2,tictoc-563b4e90,2021-09-17T12:13:01.052184+02:00,patricks-mbp-2201c4f1,Compress,results/TicToc18_0.tgz,0xb13954e3,1,
s4p,2,tictoc-563b4e90,2021-09-17T12:13:01.063063+02:00,patricks-mbp-2201c4f1,Compress,results/TicToc18_3.tgz,0x9f2b7d3f,1,
s4p,2,tictoc-563b4e90,2021-09-17T12:13:01.060826+02:00,patricks-mbp-2201c4f1,Compress,results/TicToc18_4.tgz,0x9f804aa4,2,
s4p,2,tictoc-563b4e90,2021-09-17T12:13:01.073898+02:00,patricks-mbp-2201c4f1,Compress,results/TicToc18_5.tgz,0x2783ac18,1,
s4p,2,tictoc-563b4e90,2021-09-17T12:13:01.073808+02:00,patricks-mbp-2201c4f1,Compress,results/TicToc18_1.tgz,0x8f64c782,1,
s4p,2,tictoc-563b4e90,2021-09-17T12:13:01.098314+02:00,patricks-mbp-2201c4f1,Compress,results/TicToc18_0.tgz,0xb13954e3,2,
s4p,2,tictoc-563b4e90,2021-09-17T12:13:01.107025+02:00,patricks-mbp-2201c4f1,Compress,results/TicToc18_3.tgz,0x9f2b7d3f,2,
s4p,2,tictoc-563b4e90,2021-09-17T12:13:01.11479+02:00,patricks-mbp-2201c4f1,Compress,results/TicToc18_5.tgz,0x2783ac18,2,
s4p,2,tictoc-563b4e90,2021-09-17T12:13:01.114796+02:00,patricks-mbp-2201c4f1,Compress,results/TicToc18_1.tgz,0x8f64c782,2,
s4p,2,tictoc-563b4e90,2021-09-17T12:13:01.160894+02:00,patricks-mbp-2201c4f1,Compress,results/TicToc18_2.tgz,0xbef2027e,1,
s4p,2,tictoc-563b4e90,2021-09-17T12:13:01.215362134+02:00,consumer,Extract,results/TicToc18_4.tgz,0x6d9494ac,1,
s4p,2,tictoc-563b4e90,2021-09-17T12:13:01.239816672+02:00,consumer,Extract,results/TicToc18_4.tgz,0x6d9494ac,2,
s4p,2,tictoc-563b4e90,2021-09-17T12:13:01.232002+02:00,patricks-mbp-2201c4f1,Compress,results/TicToc18_2.tgz,0xbef2027e,2,
s4p,2,tictoc-563b4e90,2021-09-17T12:13:01.368915917+02:00,consumer,Extract,results/TicToc18_0.tgz,0x151206cf,1,
s4p,2,tictoc-563b4e90,2021-09-17T12:13:01.392470908+02:00,consumer,Extract,results/TicToc18_0.tgz,0x151206cf,2,
s4p,2,tictoc-563b4e90,2021-09-17T12:13:01.519086899+02:00,consumer,Extract,results/TicToc18_5.tgz,0x5a6212c3,1,
s4p,2,tictoc-563b4e90,2021-09-17T12:13:01.541263229+02:00,consumer,Extract,results/TicToc18_5.tgz,0x5a6212c3,2,
s4p,2,tictoc-563b4e90,2021-09-17T12:13:01.683125298+02:00,consumer,Extract,results/TicToc18_3.tgz,0x2d47b4b0,1,
s4p,2,tictoc-563b4e90,2021-09-17T12:13:01.706157903+02:00,consumer,Extract,results/TicToc18_3.tgz,0x2d47b4b0,2,
s4p,2,tictoc-563b4e90,2021-09-17T12:13:01.837547368+02:00,consumer,Extract,results/TicToc18_1.tgz,0xd1d99810,1,
s4p,2,tictoc-563b4e90,2021-09-17T12:13:01.859036433+02:00,consumer,Extract,results/TicToc18_1.tgz,0xd1d99810,2,
s4p,2,tictoc-563b4e90,2021-09-17T12:13:01.986012432+02:00,consumer,Extract,results/TicToc18_2.tgz,0x5486bd83,1,
s4p,2,tictoc-563b4e90,2021-09-17T12:13:02.007274518+02:00,consumer,Extract,results/TicToc18_2.tgz,0x5486bd83,2,
s4p,2,tictoc-563b4e90,2021-09-17T12:13:04.299782+02:00,patricks-mbp-2201c4f1,Compress,results/TicToc18_7.tgz,0x6ded3348,1,
s4p,2,tictoc-563b4e90,2021-09-17T12:13:04.306027+02:00,patricks-mbp-2201c4f1,Compress,results/TicToc18_6.tgz,0x5a7bf9f6,1,
s4p,2,tictoc-563b4e90,2021-09-17T12:13:04.345874+02:00,patricks-mbp-2201c4f1,Compress,results/TicToc18_7.tgz,0x6ded3348,2,
s4p,2,tictoc-563b4e90,2021-09-17T12:13:04.345412+02:00,patricks-mbp-2201c4f1,Compress,results/TicToc18_10.tgz,0x5eabc63e,1,
s4p,2,tictoc-563b4e90,2021-09-17T12:13:04.352225+02:00,patricks-mbp-2201c4f1,Compress,results/TicToc18_6.tgz,0x5a7bf9f6,2,
s4p,2,tictoc-563b4e90,2021-09-17T12:13:04.363396+02:00,patricks-mbp-2201c4f1,Compress,results/TicToc18_11.tgz,0xa16c4b2e,1,
s4p,2,tictoc-563b4e90,2021-09-17T12:13:04.389358+02:00,patricks-mbp-2201c4f1,Compress,results/TicToc18_10.tgz,0x5eabc63e,2,
s4p,2,tictoc-563b4e90,2021-09-17T12:13:04.404108+02:00,patricks-mbp-2201c4f1,Compress,results/TicToc18_11.tgz,0xa16c4b2e,2,
s4p,2,tictoc-563b4e90,2021-09-17T12:13:04.43428+02:00,patricks-mbp-2201c4f1,Compress,results/TicToc18_8.tgz,0xfff06d75,1,
s4p,2,tictoc-563b4e90,2021-09-17T12:13:04.484891233+02:00,consumer,Extract,results/TicToc18_7.tgz,0xe46a1f4f,1,
s4p,2,tictoc-563b4e90,2021-09-17T12:13:04.484351+02:00,patricks-mbp-2201c4f1,Compress,results/TicToc18_8.tgz,0xfff06d75,2,
s4p,2,tictoc-563b4e90,2021-09-17T12:13:04.494927+02:00,patricks-mbp-2201c4f1,Compress,results/TicToc18_9.tgz,0xf6186bea,1,
s4p,2,tictoc-563b4e90,2021-09-17T12:13:04.512826426+02:00,consumer,Extract,results/TicToc18_7.tgz,0xe46a1f4f,2,
s4p,2,tictoc-563b4e90,2021-09-17T12:13:04.546203+02:00,patricks-mbp-2201c4f1,Compress,results/TicToc18_9.tgz,0xf6186bea,2,
s4p,2,tictoc-563b4e90,2021-09-17T12:13:04.661620621+02:00,consumer,Extract,results/TicToc18_6.tgz,0xf64a33df,1,
s4p,2,tictoc-563b4e90,2021-09-17T12:13:04.684043366+02:00,consumer,Extract,results/TicToc18_6.tgz,0xf64a33df,2,
s4p,2,tictoc-563b4e90,2021-09-17T12:13:04.79703077+02:00,consumer,Extract,results/TicToc18_10.tgz,0x2ba7a060,1,
s4p,2,tictoc-563b4e90,2021-09-17T12:13:04.821608751+02:00,consumer,Extract,results/TicToc18_10.tgz,0x2ba7a060,2,
s4p,2,tictoc-563b4e90,2021-09-17T12:13:04.945709206+02:00,consumer,Extract,results/TicToc18_11.tgz,0x6d307e57,1,
s4p,2,tictoc-563b4e90,2021-09-17T12:13:04.967060871+02:00,consumer,Extract,results/TicToc18_11.tgz,0x6d307e57,2,
s4p,2,tictoc-563b4e90,2021-09-17T12:13:05.101178842+02:00,consumer,Extract,results/TicToc18_8.tgz,0x760da7a,1,
s4p,2,tictoc-563b4e90,2021-09-17T12:13:05.122680651+02:00,consumer,Extract,results/TicToc18_8.tgz,0x760da7a,2,
s4p,2,tictoc-563b4e90,2021-09-17T12:13:05.250031508+02:00,consumer,Extract,results/TicToc18_9.tgz,0xf7c976b0,1,
s4p,2,tictoc-563b4e90,2021-09-17T12:13:05.275149797+02:00,consumer,Extract,results/TicToc18_9.tgz,0xf7c976b0,2,
s4p,2,tictoc-563b4e90,2021-09-17T12:13:07.460922+02:00,patricks-mbp-2201c4f1,Compress,results/TicToc18_12.tgz,0xf4287fd8,1,
s4p,2,tictoc-563b4e90,2021-09-17T12:13:07.511726+02:00,patricks-mbp-2201c4f1,Compress,results/TicToc18_12.tgz,0xf4287fd8,2,
s4p,2,tictoc-563b4e90,2021-09-17T12:13:07.611235+02:00,patricks-mbp-2201c4f1,Compress,results/TicToc18_13.tgz,0x56a23000,1,
s4p,2,tictoc-563b4e90,2021-09-17T12:13:07.620072+02:00,patricks-mbp-2201c4f1,Compress,results/TicToc18_14.tgz,0x4a30f85d,1,
s4p,2,tictoc-563b4e90,2021-09-17T12:13:07.654578324+02:00,consumer,Extract,results/TicToc18_12.tgz,0xba93fa3f,1,
s4p,2,tictoc-563b4e90,2021-09-17T12:13:07.667337+02:00,patricks-mbp-2201c4f1,Compress,results/TicToc18_13.tgz,0x56a23000,2,
s4p,2,tictoc-563b4e90,2021-09-17T12:13:07.679798445+02:00,consumer,Extract,results/TicToc18_12.tgz,0xba93fa3f,2,
s4p,2,tictoc-563b4e90,2021-09-17T12:13:07.66894+02:00,patricks-mbp-2201c4f1,Compress,results/TicToc18_14.tgz,0x4a30f85d,2,
s4p,2,tictoc-563b4e90,2021-09-17T12:13:07.683222+02:00,patricks-mbp-2201c4f1,Compress,results/TicToc18_15.tgz,0xd1864b8a,1,
