scenarioId,trailId,simulationId,timeStamp,deviceId,action,meta,eventId,step,error
s3r,1,tictoc-1330e73c,2021-09-17T16:22:52.323096907+02:00,consumer,Compress,source,0xc82048a3,1,
s3r,1,tictoc-1330e73c,2021-09-17T16:22:52.402722949+02:00,consumer,Compress,source,0xc82048a3,2,
s3r,1,tictoc-1330e73c,2021-09-17T16:22:53.62299+02:00,patricks-mbp-01601503,Compile,darwin_amd64,0xe114b68f,1,
s3r,1,tictoc-1330e73c,2021-09-17T16:23:01.421855+02:00,patricks-mbp-01601503,Compile,darwin_amd64,0xe114b68f,2,
s3r,1,tictoc-1330e73c,2021-09-17T16:23:01.447888+02:00,patricks-mbp-01601503,Compress,binary/darwin_amd64.tgz,0x467a1df7,1,
s3r,1,tictoc-1330e73c,2021-09-17T16:23:01.540664+02:00,patricks-mbp-01601503,Compress,binary/darwin_amd64.tgz,0x467a1df7,2,
s3r,1,tictoc-1330e73c,2021-09-17T16:23:04.504359+02:00,patricks-mbp-01601503,Compress,results/TicToc18_2.tgz,0xa9471145,1,
s3r,1,tictoc-1330e73c,2021-09-17T16:23:04.510516+02:00,patricks-mbp-01601503,Compress,results/TicToc18_0.tgz,0x2faf2283,1,
s3r,1,tictoc-1330e73c,2021-09-17T16:23:04.522503+02:00,patricks-mbp-01601503,Compress,results/TicToc18_3.tgz,0xe602163b,1,
s3r,1,tictoc-1330e73c,2021-09-17T16:23:04.535196+02:00,patricks-mbp-01601503,Compress,results/TicToc18_1.tgz,0x2ff13d3a,1,
s3r,1,tictoc-1330e73c,2021-09-17T16:23:04.560109+02:00,patricks-mbp-01601503,Compress,results/TicToc18_2.tgz,0xa9471145,2,
s3r,1,tictoc-1330e73c,2021-09-17T16:23:04.565735+02:00,patricks-mbp-01601503,Compress,results/TicToc18_0.tgz,0x2faf2283,2,
s3r,1,tictoc-1330e73c,2021-09-17T16:23:04.574431+02:00,patricks-mbp-01601503,Compress,results/TicToc18_1.tgz,0x2ff13d3a,2,
s3r,1,tictoc-1330e73c,2021-09-17T16:23:04.566421+02:00,patricks-mbp-01601503,Compress,results/TicToc18_3.tgz,0xe602163b,2,
s3r,1,tictoc-1330e73c,2021-09-17T16:23:04.753263164+02:00,consumer,Extract,results/TicToc18_2.tgz,0xab1595f,1,
s3r,1,tictoc-1330e73c,2021-09-17T16:23:04.778945042+02:00,consumer,Extract,results/TicToc18_2.tgz,0xab1595f,2,
s3r,1,tictoc-1330e73c,2021-09-17T16:23:04.942364826+02:00,consumer,Extract,results/TicToc18_0.tgz,0x7b45bff3,1,
s3r,1,tictoc-1330e73c,2021-09-17T16:23:04.965462069+02:00,consumer,Extract,results/TicToc18_0.tgz,0x7b45bff3,2,
s3r,1,tictoc-1330e73c,2021-09-17T16:23:05.130539249+02:00,consumer,Extract,results/TicToc18_3.tgz,0xe896a7df,1,
s3r,1,tictoc-1330e73c,2021-09-17T16:23:05.152787491+02:00,consumer,Extract,results/TicToc18_3.tgz,0xe896a7df,2,
s3r,1,tictoc-1330e73c,2021-09-17T16:23:05.314703989+02:00,consumer,Extract,results/TicToc18_1.tgz,0xe3060d05,1,
s3r,1,tictoc-1330e73c,2021-09-17T16:23:05.337268897+02:00,consumer,Extract,results/TicToc18_1.tgz,0xe3060d05,2,
s3r,1,tictoc-1330e73c,2021-09-17T16:23:06.904626+02:00,patricks-mbp-01601503,Compress,results/TicToc18_5.tgz,0xd121f066,1,
