scenarioId,trailId,simulationId,timeStamp,providerId,eventId,step,runConfig,runNumber,error
s5p,2,tictoc-71a97eaa,2021-09-17T12:16:05.333759+02:00,patricks-mbp-73b9546e,0xfc4b7eb8,1,TicToc18,0,
s5p,2,tictoc-71a97eaa,2021-09-17T12:16:05.334732+02:00,patricks-mbp-73b9546e,0x8f0c21d6,1,TicToc18,7,
s5p,2,tictoc-71a97eaa,2021-09-17T12:16:05.335327+02:00,patricks-mbp-73b9546e,0x6ba02f61,1,TicToc18,2,
s5p,2,tictoc-71a97eaa,2021-09-17T12:16:05.335839+02:00,patricks-mbp-73b9546e,0x3bdf0eb4,1,TicToc18,5,
s5p,2,tictoc-71a97eaa,2021-09-17T12:16:05.336388+02:00,patricks-mbp-73b9546e,0x1ebdf16b,1,TicToc18,1,
s5p,2,tictoc-71a97eaa,2021-09-17T12:16:05.338403+02:00,patricks-mbp-73b9546e,0xc9e08185,1,TicToc18,3,
s5p,2,tictoc-71a97eaa,2021-09-17T12:16:05.339032+02:00,patricks-mbp-73b9546e,0x8a7e349b,1,TicToc18,6,
s5p,2,tictoc-71a97eaa,2021-09-17T12:16:05.340433+02:00,patricks-mbp-73b9546e,0x7ef5d5a0,1,TicToc18,4,
s5p,2,tictoc-71a97eaa,2021-09-17T12:16:09.457181+02:00,patricks-mbp-73b9546e,0x8a7e349b,2,TicToc18,6,
s5p,2,tictoc-71a97eaa,2021-09-17T12:16:09.471401+02:00,patricks-mbp-73b9546e,0xfc4b7eb8,2,TicToc18,0,
s5p,2,tictoc-71a97eaa,2021-09-17T12:16:09.486916+02:00,patricks-mbp-73b9546e,0x6ba02f61,2,TicToc18,2,
s5p,2,tictoc-71a97eaa,2021-09-17T12:16:09.482623+02:00,patricks-mbp-73b9546e,0x1ebdf16b,2,TicToc18,1,
s5p,2,tictoc-71a97eaa,2021-09-17T12:16:09.496098+02:00,patricks-mbp-73b9546e,0x8f0c21d6,2,TicToc18,7,
s5p,2,tictoc-71a97eaa,2021-09-17T12:16:09.494093+02:00,patricks-mbp-73b9546e,0x3bdf0eb4,2,TicToc18,5,
s5p,2,tictoc-71a97eaa,2021-09-17T12:16:09.500531+02:00,patricks-mbp-73b9546e,0x7ef5d5a0,2,TicToc18,4,
s5p,2,tictoc-71a97eaa,2021-09-17T12:16:09.539377+02:00,patricks-mbp-73b9546e,0xc9e08185,2,TicToc18,3,
s5p,2,tictoc-71a97eaa,2021-09-17T12:16:09.649292+02:00,patricks-mbp-73b9546e,0x64bbfdb0,1,TicToc18,8,
s5p,2,tictoc-71a97eaa,2021-09-17T12:16:09.663315+02:00,patricks-mbp-73b9546e,0x9a48f2eb,1,TicToc18,9,
s5p,2,tictoc-71a97eaa,2021-09-17T12:16:09.681675+02:00,patricks-mbp-73b9546e,0xc52b8967,1,TicToc18,10,
s5p,2,tictoc-71a97eaa,2021-09-17T12:16:09.70606+02:00,patricks-mbp-73b9546e,0x92a390b5,1,TicToc18,11,
s5p,2,tictoc-71a97eaa,2021-09-17T12:16:09.759231+02:00,patricks-mbp-73b9546e,0xca5ca8fb,1,TicToc18,13,
s5p,2,tictoc-71a97eaa,2021-09-17T12:16:09.759439+02:00,patricks-mbp-73b9546e,0x414dfc20,1,TicToc18,12,
s5p,2,tictoc-71a97eaa,2021-09-17T12:16:09.774514+02:00,patricks-mbp-73b9546e,0x67447d24,1,TicToc18,14,
s5p,2,tictoc-71a97eaa,2021-09-17T12:16:09.780973+02:00,patricks-mbp-73b9546e,0x549b7b6c,1,TicToc18,15,
s5p,2,tictoc-71a97eaa,2021-09-17T12:16:13.831845+02:00,patricks-mbp-73b9546e,0xc52b8967,2,TicToc18,10,
s5p,2,tictoc-71a97eaa,2021-09-17T12:16:13.891503+02:00,patricks-mbp-73b9546e,0xca5ca8fb,2,TicToc18,13,
s5p,2,tictoc-71a97eaa,2021-09-17T12:16:13.941657+02:00,patricks-mbp-73b9546e,0x414dfc20,2,TicToc18,12,
s5p,2,tictoc-71a97eaa,2021-09-17T12:16:13.975478+02:00,patricks-mbp-73b9546e,0x9a48f2eb,2,TicToc18,9,
s5p,2,tictoc-71a97eaa,2021-09-17T12:16:13.993568+02:00,patricks-mbp-73b9546e,0x9e27089b,1,TicToc18,16,
s5p,2,tictoc-71a97eaa,2021-09-17T12:16:14.017612+02:00,patricks-mbp-73b9546e,0x92a390b5,2,TicToc18,11,
s5p,2,tictoc-71a97eaa,2021-09-17T12:16:14.020958+02:00,patricks-mbp-73b9546e,0x64bbfdb0,2,TicToc18,8,
s5p,2,tictoc-71a97eaa,2021-09-17T12:16:14.054528+02:00,patricks-mbp-73b9546e,0x67447d24,2,TicToc18,14,
s5p,2,tictoc-71a97eaa,2021-09-17T12:16:14.06423+02:00,patricks-mbp-73b9546e,0x549b7b6c,2,TicToc18,15,
s5p,2,tictoc-71a97eaa,2021-09-17T12:16:14.066872+02:00,patricks-mbp-73b9546e,0x4a7128a9,1,TicToc18,17,
s5p,2,tictoc-71a97eaa,2021-09-17T12:16:14.121527+02:00,patricks-mbp-73b9546e,0x6ae87c7b,1,TicToc18,18,
s5p,2,tictoc-71a97eaa,2021-09-17T12:16:14.186816+02:00,patricks-mbp-73b9546e,0x3c0976dd,1,TicToc18,19,
s5p,2,tictoc-71a97eaa,2021-09-17T12:16:14.219979+02:00,patricks-mbp-73b9546e,0x32c75d21,1,TicToc18,20,
s5p,2,tictoc-71a97eaa,2021-09-17T12:16:14.242914+02:00,patricks-mbp-73b9546e,0x78d2f731,1,TicToc18,21,
s5p,2,tictoc-71a97eaa,2021-09-17T12:16:14.277798+02:00,patricks-mbp-73b9546e,0xc4ec0cc7,1,TicToc18,22,
s5p,2,tictoc-71a97eaa,2021-09-17T12:16:14.278283+02:00,patricks-mbp-73b9546e,0x10f9a166,1,TicToc18,23,
s5p,2,tictoc-71a97eaa,2021-09-17T12:16:18.260508+02:00,patricks-mbp-73b9546e,0x9e27089b,2,TicToc18,16,
s5p,2,tictoc-71a97eaa,2021-09-17T12:16:18.331279+02:00,patricks-mbp-73b9546e,0x32c75d21,2,TicToc18,20,
s5p,2,tictoc-71a97eaa,2021-09-17T12:16:18.387896+02:00,patricks-mbp-73b9546e,0x3c0976dd,2,TicToc18,19,
s5p,2,tictoc-71a97eaa,2021-09-17T12:16:18.40264+02:00,patricks-mbp-73b9546e,0x4a7128a9,2,TicToc18,17,
s5p,2,tictoc-71a97eaa,2021-09-17T12:16:18.428824+02:00,patricks-mbp-73b9546e,0x10f9a166,2,TicToc18,23,
s5p,2,tictoc-71a97eaa,2021-09-17T12:16:18.432373+02:00,patricks-mbp-73b9546e,0x6ae87c7b,2,TicToc18,18,
s5p,2,tictoc-71a97eaa,2021-09-17T12:16:18.43619+02:00,patricks-mbp-73b9546e,0x4a6d076f,1,TicToc18,24,
s5p,2,tictoc-71a97eaa,2021-09-17T12:16:18.458505+02:00,patricks-mbp-73b9546e,0xc4ec0cc7,2,TicToc18,22,
s5p,2,tictoc-71a97eaa,2021-09-17T12:16:18.480141+02:00,patricks-mbp-73b9546e,0x78d2f731,2,TicToc18,21,
s5p,2,tictoc-71a97eaa,2021-09-17T12:16:18.52307+02:00,patricks-mbp-73b9546e,0x47fea97a,1,TicToc18,25,
s5p,2,tictoc-71a97eaa,2021-09-17T12:16:18.597533+02:00,patricks-mbp-73b9546e,0xac5b3801,1,TicToc18,26,
s5p,2,tictoc-71a97eaa,2021-09-17T12:16:18.64232+02:00,patricks-mbp-73b9546e,0x6e2b981b,1,TicToc18,29,
s5p,2,tictoc-71a97eaa,2021-09-17T12:16:18.635122+02:00,patricks-mbp-73b9546e,0x7cdf5266,1,TicToc18,27,
s5p,2,tictoc-71a97eaa,2021-09-17T12:16:18.642466+02:00,patricks-mbp-73b9546e,0x94347ecd,1,TicToc18,28,
s5p,2,tictoc-71a97eaa,2021-09-17T12:16:18.660505+02:00,patricks-mbp-73b9546e,0xa029af8d,1,TicToc18,30,
s5p,2,tictoc-71a97eaa,2021-09-17T12:16:18.701489+02:00,patricks-mbp-73b9546e,0x4504c686,1,TicToc18,31,
s5p,2,tictoc-71a97eaa,2021-09-17T12:16:22.71228+02:00,patricks-mbp-73b9546e,0x47fea97a,2,TicToc18,25,
s5p,2,tictoc-71a97eaa,2021-09-17T12:16:22.756485+02:00,patricks-mbp-73b9546e,0xac5b3801,2,TicToc18,26,
s5p,2,tictoc-71a97eaa,2021-09-17T12:16:22.783361+02:00,patricks-mbp-73b9546e,0xa029af8d,2,TicToc18,30,
