scenarioId,trailId,simulationId,timeStamp,providerId,eventId,step,runConfig,runNumber,error
s5r,2,tictoc-c6ee8675,2021-09-17T16:31:58.78319+02:00,patricks-mbp-61680044,0x9d087998,1,TicToc18,4,
s5r,2,tictoc-c6ee8675,2021-09-17T16:31:58.784682+02:00,patricks-mbp-61680044,0x7bb26ec8,1,TicToc18,3,
s5r,2,tictoc-c6ee8675,2021-09-17T16:31:58.784373+02:00,patricks-mbp-61680044,0x57d0d393,1,TicToc18,2,
s5r,2,tictoc-c6ee8675,2021-09-17T16:31:58.784749+02:00,patricks-mbp-61680044,0xe0116398,1,TicToc18,5,
s5r,2,tictoc-c6ee8675,2021-09-17T16:31:58.786981+02:00,patricks-mbp-61680044,0x80dab71f,1,TicToc18,0,
s5r,2,tictoc-c6ee8675,2021-09-17T16:31:58.785211+02:00,patricks-mbp-61680044,0xf93cd32c,1,TicToc18,1,
s5r,2,tictoc-c6ee8675,2021-09-17T16:31:58.786361+02:00,patricks-mbp-61680044,0xb3f774b4,1,TicToc18,7,
s5r,2,tictoc-c6ee8675,2021-09-17T16:31:58.789062+02:00,patricks-mbp-61680044,0x87d202e7,1,TicToc18,6,
s5r,2,tictoc-c6ee8675,2021-09-17T16:32:03.989797+02:00,patricks-mbp-61680044,0xf93cd32c,2,TicToc18,1,
s5r,2,tictoc-c6ee8675,2021-09-17T16:32:04.035279+02:00,patricks-mbp-61680044,0x80dab71f,2,TicToc18,0,
s5r,2,tictoc-c6ee8675,2021-09-17T16:32:04.090357+02:00,patricks-mbp-61680044,0xb3f774b4,2,TicToc18,7,
s5r,2,tictoc-c6ee8675,2021-09-17T16:32:04.120164+02:00,patricks-mbp-61680044,0x7bb26ec8,2,TicToc18,3,
s5r,2,tictoc-c6ee8675,2021-09-17T16:32:04.122508+02:00,patricks-mbp-61680044,0x87d202e7,2,TicToc18,6,
s5r,2,tictoc-c6ee8675,2021-09-17T16:32:04.125894+02:00,patricks-mbp-61680044,0xe0116398,2,TicToc18,5,
s5r,2,tictoc-c6ee8675,2021-09-17T16:32:04.158094+02:00,patricks-mbp-61680044,0x9d087998,2,TicToc18,4,
s5r,2,tictoc-c6ee8675,2021-09-17T16:32:04.171009+02:00,patricks-mbp-61680044,0x57d0d393,2,TicToc18,2,
s5r,2,tictoc-c6ee8675,2021-09-17T16:32:04.17334+02:00,patricks-mbp-61680044,0x6ab4fe79,1,TicToc18,8,
s5r,2,tictoc-c6ee8675,2021-09-17T16:32:04.19233+02:00,patricks-mbp-61680044,0x30808836,1,TicToc18,9,
s5r,2,tictoc-c6ee8675,2021-09-17T16:32:04.278044+02:00,patricks-mbp-61680044,0x3a57e1fe,1,TicToc18,10,
s5r,2,tictoc-c6ee8675,2021-09-17T16:32:04.295125+02:00,patricks-mbp-61680044,0x5a1cd29,1,TicToc18,11,
s5r,2,tictoc-c6ee8675,2021-09-17T16:32:04.335524+02:00,patricks-mbp-61680044,0x5c97e54e,1,TicToc18,13,
s5r,2,tictoc-c6ee8675,2021-09-17T16:32:04.335463+02:00,patricks-mbp-61680044,0xa66c93ae,1,TicToc18,12,
s5r,2,tictoc-c6ee8675,2021-09-17T16:32:04.365636+02:00,patricks-mbp-61680044,0x6a8c5dd5,1,TicToc18,14,
s5r,2,tictoc-c6ee8675,2021-09-17T16:32:04.383623+02:00,patricks-mbp-61680044,0x1f12669c,1,TicToc18,15,
s5r,2,tictoc-c6ee8675,2021-09-17T16:32:08.871566+02:00,patricks-mbp-61680044,0x6ab4fe79,2,TicToc18,8,
s5r,2,tictoc-c6ee8675,2021-09-17T16:32:08.964157+02:00,patricks-mbp-61680044,0x30808836,2,TicToc18,9,
s5r,2,tictoc-c6ee8675,2021-09-17T16:32:08.96264+02:00,patricks-mbp-61680044,0x1f12669c,2,TicToc18,15,
s5r,2,tictoc-c6ee8675,2021-09-17T16:32:09.039995+02:00,patricks-mbp-61680044,0x5a1cd29,2,TicToc18,11,
s5r,2,tictoc-c6ee8675,2021-09-17T16:32:09.045025+02:00,patricks-mbp-61680044,0x3a57e1fe,2,TicToc18,10,
s5r,2,tictoc-c6ee8675,2021-09-17T16:32:09.069976+02:00,patricks-mbp-61680044,0xa66c93ae,2,TicToc18,12,
s5r,2,tictoc-c6ee8675,2021-09-17T16:32:09.076504+02:00,patricks-mbp-61680044,0x6a8c5dd5,2,TicToc18,14,
s5r,2,tictoc-c6ee8675,2021-09-17T16:32:09.117973+02:00,patricks-mbp-61680044,0x5c97e54e,2,TicToc18,13,
s5r,2,tictoc-c6ee8675,2021-09-17T16:32:09.1856+02:00,patricks-mbp-61680044,0x93b10198,1,TicToc18,16,
s5r,2,tictoc-c6ee8675,2021-09-17T16:32:09.214149+02:00,patricks-mbp-61680044,0x5f3a598d,1,TicToc18,17,
s5r,2,tictoc-c6ee8675,2021-09-17T16:32:09.210882+02:00,patricks-mbp-61680044,0xea9e7220,1,TicToc18,18,
s5r,2,tictoc-c6ee8675,2021-09-17T16:32:09.270037+02:00,patricks-mbp-61680044,0x53d5de0c,1,TicToc18,19,
s5r,2,tictoc-c6ee8675,2021-09-17T16:32:09.312439+02:00,patricks-mbp-61680044,0x551d4a79,1,TicToc18,20,
s5r,2,tictoc-c6ee8675,2021-09-17T16:32:09.321038+02:00,patricks-mbp-61680044,0xc39ae672,1,TicToc18,21,
