scenarioId,trailId,simulationId,timeStamp,deviceId,action,meta,eventId,step,error
s2r,2,tictoc-158ea08b,2021-09-17T16:19:51.498587171+02:00,consumer,Compress,source,0x41f40e9c,1,
s2r,2,tictoc-158ea08b,2021-09-17T16:19:51.579205408+02:00,consumer,Compress,source,0x41f40e9c,2,
s2r,2,tictoc-158ea08b,2021-09-17T16:19:52.554104+02:00,patricks-mbp-d2c48b7c,Compile,darwin_amd64,0xf275ec0d,1,
s2r,2,tictoc-158ea08b,2021-09-17T16:19:59.955717+02:00,patricks-mbp-d2c48b7c,Compile,darwin_amd64,0xf275ec0d,2,
s2r,2,tictoc-158ea08b,2021-09-17T16:19:59.984555+02:00,patricks-mbp-d2c48b7c,Compress,binary/darwin_amd64.tgz,0x88854525,1,
s2r,2,tictoc-158ea08b,2021-09-17T16:20:00.075228+02:00,patricks-mbp-d2c48b7c,Compress,binary/darwin_amd64.tgz,0x88854525,2,
s2r,2,tictoc-158ea08b,2021-09-17T16:20:02.804169+02:00,patricks-mbp-d2c48b7c,Compress,results/TicToc18_1.tgz,0xdbcb0e12,1,
s2r,2,tictoc-158ea08b,2021-09-17T16:20:02.844354+02:00,patricks-mbp-d2c48b7c,Compress,results/TicToc18_0.tgz,0x25036a6c,1,
s2r,2,tictoc-158ea08b,2021-09-17T16:20:02.856422+02:00,patricks-mbp-d2c48b7c,Compress,results/TicToc18_1.tgz,0xdbcb0e12,2,
s2r,2,tictoc-158ea08b,2021-09-17T16:20:02.891065+02:00,patricks-mbp-d2c48b7c,Compress,results/TicToc18_0.tgz,0x25036a6c,2,
s2r,2,tictoc-158ea08b,2021-09-17T16:20:03.045012305+02:00,consumer,Extract,results/TicToc18_1.tgz,0xb6ef7761,1,
s2r,2,tictoc-158ea08b,2021-09-17T16:20:03.069744974+02:00,consumer,Extract,results/TicToc18_1.tgz,0xb6ef7761,2,
s2r,2,tictoc-158ea08b,2021-09-17T16:20:03.245382475+02:00,consumer,Extract,results/TicToc18_0.tgz,0x81e0754d,1,
s2r,2,tictoc-158ea08b,2021-09-17T16:20:03.269041418+02:00,consumer,Extract,results/TicToc18_0.tgz,0x81e0754d,2,
s2r,2,tictoc-158ea08b,2021-09-17T16:20:05.092152+02:00,patricks-mbp-d2c48b7c,Compress,results/TicToc18_3.tgz,0xefce53b7,1,
s2r,2,tictoc-158ea08b,2021-09-17T16:20:05.100286+02:00,patricks-mbp-d2c48b7c,Compress,results/TicToc18_2.tgz,0x48c1c4b6,1,
s2r,2,tictoc-158ea08b,2021-09-17T16:20:05.150425+02:00,patricks-mbp-d2c48b7c,Compress,results/TicToc18_3.tgz,0xefce53b7,2,
s2r,2,tictoc-158ea08b,2021-09-17T16:20:05.164454+02:00,patricks-mbp-d2c48b7c,Compress,results/TicToc18_2.tgz,0x48c1c4b6,2,
s2r,2,tictoc-158ea08b,2021-09-17T16:20:05.333603389+02:00,consumer,Extract,results/TicToc18_3.tgz,0x4b67cd1d,1,
s2r,2,tictoc-158ea08b,2021-09-17T16:20:05.358716125+02:00,consumer,Extract,results/TicToc18_3.tgz,0x4b67cd1d,2,
s2r,2,tictoc-158ea08b,2021-09-17T16:20:05.529994613+02:00,consumer,Extract,results/TicToc18_2.tgz,0x2719d04,1,
s2r,2,tictoc-158ea08b,2021-09-17T16:20:05.549985035+02:00,consumer,Extract,results/TicToc18_2.tgz,0x2719d04,2,
s2r,2,tictoc-158ea08b,2021-09-17T16:20:07.222137+02:00,patricks-mbp-d2c48b7c,Compress,results/TicToc18_4.tgz,0x5142779b,1,
s2r,2,tictoc-158ea08b,2021-09-17T16:20:07.229068+02:00,patricks-mbp-d2c48b7c,Compress,results/TicToc18_5.tgz,0xb812eb40,1,
s2r,2,tictoc-158ea08b,2021-09-17T16:20:07.270419+02:00,patricks-mbp-d2c48b7c,Compress,results/TicToc18_4.tgz,0x5142779b,2,
s2r,2,tictoc-158ea08b,2021-09-17T16:20:07.276492+02:00,patricks-mbp-d2c48b7c,Compress,results/TicToc18_5.tgz,0xb812eb40,2,
s2r,2,tictoc-158ea08b,2021-09-17T16:20:07.462011126+02:00,consumer,Extract,results/TicToc18_4.tgz,0xc1beb889,1,
s2r,2,tictoc-158ea08b,2021-09-17T16:20:07.493735935+02:00,consumer,Extract,results/TicToc18_4.tgz,0xc1beb889,2,
s2r,2,tictoc-158ea08b,2021-09-17T16:20:07.667965701+02:00,consumer,Extract,results/TicToc18_5.tgz,0x320331d,1,
s2r,2,tictoc-158ea08b,2021-09-17T16:20:07.689993136+02:00,consumer,Extract,results/TicToc18_5.tgz,0x320331d,2,
s2r,2,tictoc-158ea08b,2021-09-17T16:20:09.61997+02:00,patricks-mbp-d2c48b7c,Compress,results/TicToc18_6.tgz,0xbf1a4e8a,1,
s2r,2,tictoc-158ea08b,2021-09-17T16:20:09.626269+02:00,patricks-mbp-d2c48b7c,Compress,results/TicToc18_7.tgz,0x3f8c9651,1,
s2r,2,tictoc-158ea08b,2021-09-17T16:20:09.677681+02:00,patricks-mbp-d2c48b7c,Compress,results/TicToc18_7.tgz,0x3f8c9651,2,
s2r,2,tictoc-158ea08b,2021-09-17T16:20:09.67169+02:00,patricks-mbp-d2c48b7c,Compress,results/TicToc18_6.tgz,0xbf1a4e8a,2,
s2r,2,tictoc-158ea08b,2021-09-17T16:20:09.888269227+02:00,consumer,Extract,results/TicToc18_7.tgz,0x8d363dea,1,
