scenarioId,trailId,simulationId,timeStamp,providerId,eventId,step,direction,file,transferred,error
s4p,1,tictoc-3ef5a555,2021-09-17T12:11:57.032725424+02:00,patricks-mbp-2201c4f1,0xd4639f4,1,Upload,source.tgz,0,
s4p,1,tictoc-3ef5a555,2021-09-17T12:11:57.3398747+02:00,patricks-mbp-2201c4f1,0xd4639f4,2,Upload,source.tgz,495484,
s4p,1,tictoc-3ef5a555,2021-09-17T12:12:04.334448476+02:00,patricks-mbp-2201c4f1,0xcaf2d338,1,Download,binary/darwin_amd64.tgz,0,
s4p,1,tictoc-3ef5a555,2021-09-17T12:12:04.622853154+02:00,patricks-mbp-2201c4f1,0xcaf2d338,2,Download,binary/darwin_amd64.tgz,351807,
s4p,1,tictoc-3ef5a555,2021-09-17T12:12:08.073991599+02:00,patricks-mbp-2201c4f1,0x7b85394,1,Download,results/TicToc18_5.tgz,0,
s4p,1,tictoc-3ef5a555,2021-09-17T12:12:08.139946828+02:00,patricks-mbp-2201c4f1,0x7b85394,2,Download,results/TicToc18_5.tgz,31098,
s4p,1,tictoc-3ef5a555,2021-09-17T12:12:08.230883869+02:00,patricks-mbp-2201c4f1,0x2412ac1b,1,Download,results/TicToc18_0.tgz,0,
s4p,1,tictoc-3ef5a555,2021-09-17T12:12:08.294207894+02:00,patricks-mbp-2201c4f1,0x2412ac1b,2,Download,results/TicToc18_0.tgz,32018,
s4p,1,tictoc-3ef5a555,2021-09-17T12:12:08.38771837+02:00,patricks-mbp-2201c4f1,0x9a6006c7,1,Download,results/TicToc18_2.tgz,0,
s4p,1,tictoc-3ef5a555,2021-09-17T12:12:08.452777308+02:00,patricks-mbp-2201c4f1,0x9a6006c7,2,Download,results/TicToc18_2.tgz,31640,
s4p,1,tictoc-3ef5a555,2021-09-17T12:12:08.545880656+02:00,patricks-mbp-2201c4f1,0xb86292f,1,Download,results/TicToc18_1.tgz,0,
s4p,1,tictoc-3ef5a555,2021-09-17T12:12:08.607174512+02:00,patricks-mbp-2201c4f1,0xb86292f,2,Download,results/TicToc18_1.tgz,33959,
s4p,1,tictoc-3ef5a555,2021-09-17T12:12:08.696957327+02:00,patricks-mbp-2201c4f1,0x86c221b6,1,Download,results/TicToc18_4.tgz,0,
s4p,1,tictoc-3ef5a555,2021-09-17T12:12:08.758292691+02:00,patricks-mbp-2201c4f1,0x86c221b6,2,Download,results/TicToc18_4.tgz,30562,
s4p,1,tictoc-3ef5a555,2021-09-17T12:12:08.85694213+02:00,patricks-mbp-2201c4f1,0x4b90cda4,1,Download,results/TicToc18_3.tgz,0,
s4p,1,tictoc-3ef5a555,2021-09-17T12:12:08.927778527+02:00,patricks-mbp-2201c4f1,0x4b90cda4,2,Download,results/TicToc18_3.tgz,31887,
s4p,1,tictoc-3ef5a555,2021-09-17T12:12:11.357135277+02:00,patricks-mbp-2201c4f1,0x717669d0,1,Download,results/TicToc18_6.tgz,0,
s4p,1,tictoc-3ef5a555,2021-09-17T12:12:11.42103578+02:00,patricks-mbp-2201c4f1,0x717669d0,2,Download,results/TicToc18_6.tgz,31429,
s4p,1,tictoc-3ef5a555,2021-09-17T12:12:11.525757654+02:00,patricks-mbp-2201c4f1,0x569afbac,1,Download,results/TicToc18_8.tgz,0,
s4p,1,tictoc-3ef5a555,2021-09-17T12:12:11.588709928+02:00,patricks-mbp-2201c4f1,0x569afbac,2,Download,results/TicToc18_8.tgz,31257,
s4p,1,tictoc-3ef5a555,2021-09-17T12:12:11.682047067+02:00,patricks-mbp-2201c4f1,0x6511ea57,1,Download,results/TicToc18_11.tgz,0,
s4p,1,tictoc-3ef5a555,2021-09-17T12:12:11.740478424+02:00,patricks-mbp-2201c4f1,0x6511ea57,2,Download,results/TicToc18_11.tgz,28524,
s4p,1,tictoc-3ef5a555,2021-09-17T12:12:11.838906836+02:00,patricks-mbp-2201c4f1,0xc8889b32,1,Download,results/TicToc18_10.tgz,0,
s4p,1,tictoc-3ef5a555,2021-09-17T12:12:11.899688576+02:00,patricks-mbp-2201c4f1,0xc8889b32,2,Download,results/TicToc18_10.tgz,30091,
s4p,1,tictoc-3ef5a555,2021-09-17T12:12:11.996105204+02:00,patricks-mbp-2201c4f1,0x6779d142,1,Download,results/TicToc18_9.tgz,0,
s4p,1,tictoc-3ef5a555,2021-09-17T12:12:12.052141032+02:00,patricks-mbp-2201c4f1,0x6779d142,2,Download,results/TicToc18_9.tgz,28924,
s4p,1,tictoc-3ef5a555,2021-09-17T12:12:12.146580891+02:00,patricks-mbp-2201c4f1,0x7a2b6a53,1,Download,results/TicToc18_7.tgz,0,
s4p,1,tictoc-3ef5a555,2021-09-17T12:12:12.203553136+02:00,patricks-mbp-2201c4f1,0x7a2b6a53,2,Download,results/TicToc18_7.tgz,30105,
s4p,1,tictoc-3ef5a555,2021-09-17T12:12:14.652539141+02:00,patricks-mbp-2201c4f1,0x852c062c,1,Download,results/TicToc18_13.tgz,0,
s4p,1,tictoc-3ef5a555,2021-09-17T12:12:14.71547787+02:00,patricks-mbp-2201c4f1,0x852c062c,2,Download,results/TicToc18_13.tgz,29676,
s4p,1,tictoc-3ef5a555,2021-09-17T12:12:14.808982344+02:00,patricks-mbp-2201c4f1,0x551a9b7,1,Download,results/TicToc18_16.tgz,0,
s4p,1,tictoc-3ef5a555,2021-09-17T12:12:14.872687108+02:00,patricks-mbp-2201c4f1,0x551a9b7,2,Download,results/TicToc18_16.tgz,28609,
s4p,1,tictoc-3ef5a555,2021-09-17T12:12:14.968568385+02:00,patricks-mbp-2201c4f1,0x5c54d47e,1,Download,results/TicToc18_12.tgz,0,
s4p,1,tictoc-3ef5a555,2021-09-17T12:12:15.032752734+02:00,patricks-mbp-2201c4f1,0x5c54d47e,2,Download,results/TicToc18_12.tgz,28693,
s4p,1,tictoc-3ef5a555,2021-09-17T12:12:15.130117129+02:00,patricks-mbp-2201c4f1,0xee1afa7d,1,Download,results/TicToc18_17.tgz,0,
