scenarioId,trailId,simulationId,timeStamp,deviceId,action,meta,eventId,step,error
s5r,0,tictoc-4f31b8af,2021-09-17T16:29:50.581595766+02:00,consumer,Compress,source,0xf7f3cca1,1,
s5r,0,tictoc-4f31b8af,2021-09-17T16:29:50.659864232+02:00,consumer,Compress,source,0xf7f3cca1,2,
s5r,0,tictoc-4f31b8af,2021-09-17T16:29:52.028174+02:00,patricks-mbp-61680044,Compile,darwin_amd64,0x6f8c84f1,1,
s5r,0,tictoc-4f31b8af,2021-09-17T16:29:59.49817+02:00,patricks-mbp-61680044,Compile,darwin_amd64,0x6f8c84f1,2,
s5r,0,tictoc-4f31b8af,2021-09-17T16:29:59.521954+02:00,patricks-mbp-61680044,Compress,binary/darwin_amd64.tgz,0x68f94260,1,
s5r,0,tictoc-4f31b8af,2021-09-17T16:29:59.609327+02:00,patricks-mbp-61680044,Compress,binary/darwin_amd64.tgz,0x68f94260,2,
s5r,0,tictoc-4f31b8af,2021-09-17T16:30:05.154712+02:00,patricks-mbp-61680044,Compress,results/TicToc18_1.tgz,0x44a54122,1,
s5r,0,tictoc-4f31b8af,2021-09-17T16:30:05.16983+02:00,patricks-mbp-61680044,Compress,results/TicToc18_0.tgz,0xb6fa78ee,1,
s5r,0,tictoc-4f31b8af,2021-09-17T16:30:05.189313+02:00,patricks-mbp-61680044,Compress,results/TicToc18_3.tgz,0xe14510a4,1,
s5r,0,tictoc-4f31b8af,2021-09-17T16:30:05.204961+02:00,patricks-mbp-61680044,Compress,results/TicToc18_1.tgz,0x44a54122,2,
s5r,0,tictoc-4f31b8af,2021-09-17T16:30:05.204688+02:00,patricks-mbp-61680044,Compress,results/TicToc18_6.tgz,0xd3bdb1d2,1,
s5r,0,tictoc-4f31b8af,2021-09-17T16:30:05.214172+02:00,patricks-mbp-61680044,Compress,results/TicToc18_0.tgz,0xb6fa78ee,2,
