scenarioId,trailId,simulationId,timeStamp,providerId,eventId,step,direction,file,transferred,error
s4r,1,tictoc-2e1ee0fe,2021-09-17T16:26:20.880929383+02:00,patricks-mbp-e88c9cf4,0xd9680604,1,Upload,source.tgz,0,
s4r,1,tictoc-2e1ee0fe,2021-09-17T16:26:21.571966032+02:00,patricks-mbp-e88c9cf4,0xd9680604,2,Upload,source.tgz,506166,
s4r,1,tictoc-2e1ee0fe,2021-09-17T16:26:29.432484896+02:00,patricks-mbp-e88c9cf4,0x33f50db2,1,Download,binary/darwin_amd64.tgz,0,
s4r,1,tictoc-2e1ee0fe,2021-09-17T16:26:29.767191113+02:00,patricks-mbp-e88c9cf4,0x33f50db2,2,Download,binary/darwin_amd64.tgz,362420,
s4r,1,tictoc-2e1ee0fe,2021-09-17T16:26:33.522984987+02:00,patricks-mbp-e88c9cf4,0x25aaea49,1,Download,results/TicToc18_4.tgz,0,
s4r,1,tictoc-2e1ee0fe,2021-09-17T16:26:33.610727105+02:00,patricks-mbp-e88c9cf4,0x25aaea49,2,Download,results/TicToc18_4.tgz,31047,
s4r,1,tictoc-2e1ee0fe,2021-09-17T16:26:33.719461735+02:00,patricks-mbp-e88c9cf4,0xbfb88428,1,Download,results/TicToc18_3.tgz,0,
s4r,1,tictoc-2e1ee0fe,2021-09-17T16:26:33.79869889+02:00,patricks-mbp-e88c9cf4,0xbfb88428,2,Download,results/TicToc18_3.tgz,31054,
s4r,1,tictoc-2e1ee0fe,2021-09-17T16:26:33.910587919+02:00,patricks-mbp-e88c9cf4,0x30741610,1,Download,results/TicToc18_2.tgz,0,
s4r,1,tictoc-2e1ee0fe,2021-09-17T16:26:33.990747965+02:00,patricks-mbp-e88c9cf4,0x30741610,2,Download,results/TicToc18_2.tgz,32689,
s4r,1,tictoc-2e1ee0fe,2021-09-17T16:26:34.101898993+02:00,patricks-mbp-e88c9cf4,0x71b507b0,1,Download,results/TicToc18_0.tgz,0,
s4r,1,tictoc-2e1ee0fe,2021-09-17T16:26:34.187670494+02:00,patricks-mbp-e88c9cf4,0x71b507b0,2,Download,results/TicToc18_0.tgz,33287,
s4r,1,tictoc-2e1ee0fe,2021-09-17T16:26:34.303160907+02:00,patricks-mbp-e88c9cf4,0xcedc00d3,1,Download,results/TicToc18_1.tgz,0,
s4r,1,tictoc-2e1ee0fe,2021-09-17T16:26:34.394024284+02:00,patricks-mbp-e88c9cf4,0xcedc00d3,2,Download,results/TicToc18_1.tgz,33463,
s4r,1,tictoc-2e1ee0fe,2021-09-17T16:26:34.510669937+02:00,patricks-mbp-e88c9cf4,0x90d90f23,1,Download,results/TicToc18_5.tgz,0,
s4r,1,tictoc-2e1ee0fe,2021-09-17T16:26:34.593790959+02:00,patricks-mbp-e88c9cf4,0x90d90f23,2,Download,results/TicToc18_5.tgz,32158,
s4r,1,tictoc-2e1ee0fe,2021-09-17T16:26:37.67228732+02:00,patricks-mbp-e88c9cf4,0x3643ce91,1,Download,results/TicToc18_6.tgz,0,
s4r,1,tictoc-2e1ee0fe,2021-09-17T16:26:37.775523999+02:00,patricks-mbp-e88c9cf4,0x3643ce91,2,Download,results/TicToc18_6.tgz,31207,
s4r,1,tictoc-2e1ee0fe,2021-09-17T16:26:37.892608018+02:00,patricks-mbp-e88c9cf4,0xe06971c0,1,Download,results/TicToc18_7.tgz,0,
s4r,1,tictoc-2e1ee0fe,2021-09-17T16:26:37.96533914+02:00,patricks-mbp-e88c9cf4,0xe06971c0,2,Download,results/TicToc18_7.tgz,30331,
s4r,1,tictoc-2e1ee0fe,2021-09-17T16:26:38.097096009+02:00,patricks-mbp-e88c9cf4,0x5c3181f4,1,Download,results/TicToc18_9.tgz,0,
s4r,1,tictoc-2e1ee0fe,2021-09-17T16:26:38.181359165+02:00,patricks-mbp-e88c9cf4,0x5c3181f4,2,Download,results/TicToc18_9.tgz,29716,
s4r,1,tictoc-2e1ee0fe,2021-09-17T16:26:38.288737596+02:00,patricks-mbp-e88c9cf4,0x4e5413cc,1,Download,results/TicToc18_11.tgz,0,
s4r,1,tictoc-2e1ee0fe,2021-09-17T16:26:38.35793952+02:00,patricks-mbp-e88c9cf4,0x4e5413cc,2,Download,results/TicToc18_11.tgz,28117,
s4r,1,tictoc-2e1ee0fe,2021-09-17T16:26:38.478967389+02:00,patricks-mbp-e88c9cf4,0x670155d5,1,Download,results/TicToc18_10.tgz,0,
s4r,1,tictoc-2e1ee0fe,2021-09-17T16:26:38.556373891+02:00,patricks-mbp-e88c9cf4,0x670155d5,2,Download,results/TicToc18_10.tgz,30092,
s4r,1,tictoc-2e1ee0fe,2021-09-17T16:26:38.672552212+02:00,patricks-mbp-e88c9cf4,0x41a5de73,1,Download,results/TicToc18_8.tgz,0,
s4r,1,tictoc-2e1ee0fe,2021-09-17T16:26:38.749297556+02:00,patricks-mbp-e88c9cf4,0x41a5de73,2,Download,results/TicToc18_8.tgz,30990,
s4r,1,tictoc-2e1ee0fe,2021-09-17T16:26:41.484422544+02:00,patricks-mbp-e88c9cf4,0x8dc8ce33,1,Download,results/TicToc18_13.tgz,0,
s4r,1,tictoc-2e1ee0fe,2021-09-17T16:26:41.570899374+02:00,patricks-mbp-e88c9cf4,0x8dc8ce33,2,Download,results/TicToc18_13.tgz,29678,
s4r,1,tictoc-2e1ee0fe,2021-09-17T16:26:41.684555648+02:00,patricks-mbp-e88c9cf4,0x4adbbbe7,1,Download,results/TicToc18_12.tgz,0,
s4r,1,tictoc-2e1ee0fe,2021-09-17T16:26:41.761931312+02:00,patricks-mbp-e88c9cf4,0x4adbbbe7,2,Download,results/TicToc18_12.tgz,28849,
s4r,1,tictoc-2e1ee0fe,2021-09-17T16:26:41.867328635+02:00,patricks-mbp-e88c9cf4,0x28309b3e,1,Download,results/TicToc18_14.tgz,0,
s4r,1,tictoc-2e1ee0fe,2021-09-17T16:26:41.938261124+02:00,patricks-mbp-e88c9cf4,0x28309b3e,2,Download,results/TicToc18_14.tgz,28744,
s4r,1,tictoc-2e1ee0fe,2021-09-17T16:26:42.05359943+02:00,patricks-mbp-e88c9cf4,0xb786f7fe,1,Download,results/TicToc18_17.tgz,0,
s4r,1,tictoc-2e1ee0fe,2021-09-17T16:26:42.171007722+02:00,patricks-mbp-e88c9cf4,0xb786f7fe,2,Download,results/TicToc18_17.tgz,27226,
s4r,1,tictoc-2e1ee0fe,2021-09-17T16:26:42.282753592+02:00,patricks-mbp-e88c9cf4,0xd5b8918f,1,Download,results/TicToc18_15.tgz,0,
s4r,1,tictoc-2e1ee0fe,2021-09-17T16:26:42.434735934+02:00,patricks-mbp-e88c9cf4,0xd5b8918f,2,Download,results/TicToc18_15.tgz,28511,
s4r,1,tictoc-2e1ee0fe,2021-09-17T16:26:42.550853872+02:00,patricks-mbp-e88c9cf4,0xf7e36538,1,Download,results/TicToc18_16.tgz,0,
s4r,1,tictoc-2e1ee0fe,2021-09-17T16:26:42.62566668+02:00,patricks-mbp-e88c9cf4,0xf7e36538,2,Download,results/TicToc18_16.tgz,28609,
s4r,1,tictoc-2e1ee0fe,2021-09-17T16:26:45.084506455+02:00,patricks-mbp-e88c9cf4,0xc781c366,1,Download,results/TicToc18_22.tgz,0,
s4r,1,tictoc-2e1ee0fe,2021-09-17T16:26:45.168983073+02:00,patricks-mbp-e88c9cf4,0xc781c366,2,Download,results/TicToc18_22.tgz,26190,
s4r,1,tictoc-2e1ee0fe,2021-09-17T16:26:45.267016676+02:00,patricks-mbp-e88c9cf4,0x8928cabb,1,Download,results/TicToc18_19.tgz,0,
s4r,1,tictoc-2e1ee0fe,2021-09-17T16:26:45.339369615+02:00,patricks-mbp-e88c9cf4,0x8928cabb,2,Download,results/TicToc18_19.tgz,27111,
s4r,1,tictoc-2e1ee0fe,2021-09-17T16:26:45.454116345+02:00,patricks-mbp-e88c9cf4,0x8612aaee,1,Download,results/TicToc18_20.tgz,0,
s4r,1,tictoc-2e1ee0fe,2021-09-17T16:26:45.542215568+02:00,patricks-mbp-e88c9cf4,0x8612aaee,2,Download,results/TicToc18_20.tgz,26887,
s4r,1,tictoc-2e1ee0fe,2021-09-17T16:26:45.653839778+02:00,patricks-mbp-e88c9cf4,0xcf86008b,1,Download,results/TicToc18_18.tgz,0,
s4r,1,tictoc-2e1ee0fe,2021-09-17T16:26:45.729254612+02:00,patricks-mbp-e88c9cf4,0xcf86008b,2,Download,results/TicToc18_18.tgz,27379,
s4r,1,tictoc-2e1ee0fe,2021-09-17T16:26:45.832063663+02:00,patricks-mbp-e88c9cf4,0x15314a81,1,Download,results/TicToc18_21.tgz,0,
s4r,1,tictoc-2e1ee0fe,2021-09-17T16:26:45.899921662+02:00,patricks-mbp-e88c9cf4,0x15314a81,2,Download,results/TicToc18_21.tgz,27350,
s4r,1,tictoc-2e1ee0fe,2021-09-17T16:26:46.009397559+02:00,patricks-mbp-e88c9cf4,0x42f4a4fd,1,Download,results/TicToc18_23.tgz,0,
s4r,1,tictoc-2e1ee0fe,2021-09-17T16:26:46.089340415+02:00,patricks-mbp-e88c9cf4,0x42f4a4fd,2,Download,results/TicToc18_23.tgz,28323,
s4r,1,tictoc-2e1ee0fe,2021-09-17T16:26:49.284614272+02:00,patricks-mbp-e88c9cf4,0x50e7df25,1,Download,results/TicToc18_25.tgz,0,
s4r,1,tictoc-2e1ee0fe,2021-09-17T16:26:49.373278831+02:00,patricks-mbp-e88c9cf4,0x50e7df25,2,Download,results/TicToc18_25.tgz,27019,
s4r,1,tictoc-2e1ee0fe,2021-09-17T16:26:49.496941161+02:00,patricks-mbp-e88c9cf4,0xf1901c49,1,Download,results/TicToc18_24.tgz,0,
s4r,1,tictoc-2e1ee0fe,2021-09-17T16:26:49.569274232+02:00,patricks-mbp-e88c9cf4,0xf1901c49,2,Download,results/TicToc18_24.tgz,26135,
s4r,1,tictoc-2e1ee0fe,2021-09-17T16:26:49.67981102+02:00,patricks-mbp-e88c9cf4,0xbdf41643,1,Download,results/TicToc18_27.tgz,0,
s4r,1,tictoc-2e1ee0fe,2021-09-17T16:26:49.757011543+02:00,patricks-mbp-e88c9cf4,0xbdf41643,2,Download,results/TicToc18_27.tgz,26150,
s4r,1,tictoc-2e1ee0fe,2021-09-17T16:26:49.99244647+02:00,patricks-mbp-e88c9cf4,0x84898c5a,1,Download,results/TicToc18_26.tgz,0,
s4r,1,tictoc-2e1ee0fe,2021-09-17T16:26:50.081658792+02:00,patricks-mbp-e88c9cf4,0x84898c5a,2,Download,results/TicToc18_26.tgz,25918,
s4r,1,tictoc-2e1ee0fe,2021-09-17T16:26:50.26078468+02:00,patricks-mbp-e88c9cf4,0xfb4e7257,1,Download,results/TicToc18_28.tgz,0,
s4r,1,tictoc-2e1ee0fe,2021-09-17T16:26:50.341195108+02:00,patricks-mbp-e88c9cf4,0xfb4e7257,2,Download,results/TicToc18_28.tgz,26113,
s4r,1,tictoc-2e1ee0fe,2021-09-17T16:26:50.462862063+02:00,patricks-mbp-e88c9cf4,0xf95a3d83,1,Download,results/TicToc18_29.tgz,0,
