scenarioId,trailId,simulationId,timeStamp,providerId,eventId,step,direction,file,transferred,error
s1p,0,tictoc-c4eb6200,2021-09-17T11:52:16.286896343+02:00,patricks-mbp-89fa3d43,0x5a92f3c,1,Upload,source.tgz,0,
s1p,0,tictoc-c4eb6200,2021-09-17T11:52:16.770951872+02:00,patricks-mbp-89fa3d43,0x5a92f3c,2,Upload,source.tgz,489117,
s1p,0,tictoc-c4eb6200,2021-09-17T11:52:24.792039528+02:00,patricks-mbp-89fa3d43,0xbac465b7,1,Download,binary/darwin_amd64.tgz,0,
s1p,0,tictoc-c4eb6200,2021-09-17T11:52:25.118406085+02:00,patricks-mbp-89fa3d43,0xbac465b7,2,Download,binary/darwin_amd64.tgz,353603,
s1p,0,tictoc-c4eb6200,2021-09-17T11:52:27.439921806+02:00,patricks-mbp-89fa3d43,0x441b8be3,1,Download,results/TicToc18_0.tgz,0,
s1p,0,tictoc-c4eb6200,2021-09-17T11:52:27.500822238+02:00,patricks-mbp-89fa3d43,0x441b8be3,2,Download,results/TicToc18_0.tgz,32017,
s1p,0,tictoc-c4eb6200,2021-09-17T11:52:29.455735912+02:00,patricks-mbp-89fa3d43,0x4399bedf,1,Download,results/TicToc18_1.tgz,0,
s1p,0,tictoc-c4eb6200,2021-09-17T11:52:29.52209416+02:00,patricks-mbp-89fa3d43,0x4399bedf,2,Download,results/TicToc18_1.tgz,33140,
s1p,0,tictoc-c4eb6200,2021-09-17T11:52:31.457166811+02:00,patricks-mbp-89fa3d43,0x69220f9a,1,Download,results/TicToc18_2.tgz,0,
s1p,0,tictoc-c4eb6200,2021-09-17T11:52:31.522107755+02:00,patricks-mbp-89fa3d43,0x69220f9a,2,Download,results/TicToc18_2.tgz,32690,
s1p,0,tictoc-c4eb6200,2021-09-17T11:52:33.465312094+02:00,patricks-mbp-89fa3d43,0x725a686d,1,Download,results/TicToc18_3.tgz,0,
s1p,0,tictoc-c4eb6200,2021-09-17T11:52:33.528460407+02:00,patricks-mbp-89fa3d43,0x725a686d,2,Download,results/TicToc18_3.tgz,31642,
s1p,0,tictoc-c4eb6200,2021-09-17T11:52:35.639610128+02:00,patricks-mbp-89fa3d43,0xa237c18a,1,Download,results/TicToc18_4.tgz,0,
s1p,0,tictoc-c4eb6200,2021-09-17T11:52:35.704991463+02:00,patricks-mbp-89fa3d43,0xa237c18a,2,Download,results/TicToc18_4.tgz,31615,
s1p,0,tictoc-c4eb6200,2021-09-17T11:52:37.683089246+02:00,patricks-mbp-89fa3d43,0x8c9b851e,1,Download,results/TicToc18_5.tgz,0,
s1p,0,tictoc-c4eb6200,2021-09-17T11:52:37.752815577+02:00,patricks-mbp-89fa3d43,0x8c9b851e,2,Download,results/TicToc18_5.tgz,32388,
s1p,0,tictoc-c4eb6200,2021-09-17T11:52:39.795826829+02:00,patricks-mbp-89fa3d43,0x116e4b7,1,Download,results/TicToc18_6.tgz,0,
s1p,0,tictoc-c4eb6200,2021-09-17T11:52:39.855754725+02:00,patricks-mbp-89fa3d43,0x116e4b7,2,Download,results/TicToc18_6.tgz,30937,
s1p,0,tictoc-c4eb6200,2021-09-17T11:52:41.87002446+02:00,patricks-mbp-89fa3d43,0x49f6d561,1,Download,results/TicToc18_7.tgz,0,
s1p,0,tictoc-c4eb6200,2021-09-17T11:52:41.929019287+02:00,patricks-mbp-89fa3d43,0x49f6d561,2,Download,results/TicToc18_7.tgz,30326,
s1p,0,tictoc-c4eb6200,2021-09-17T11:52:43.913191911+02:00,patricks-mbp-89fa3d43,0x5ece540a,1,Download,results/TicToc18_8.tgz,0,
s1p,0,tictoc-c4eb6200,2021-09-17T11:52:43.979122192+02:00,patricks-mbp-89fa3d43,0x5ece540a,2,Download,results/TicToc18_8.tgz,30993,
s1p,0,tictoc-c4eb6200,2021-09-17T11:52:46.026859782+02:00,patricks-mbp-89fa3d43,0xaa0321d2,1,Download,results/TicToc18_9.tgz,0,
