scenarioId,trailId,simulationId,timeStamp,providerId,eventId,step,runConfig,runNumber,error
s4r,1,tictoc-2e1ee0fe,2021-09-17T16:26:30.049636+02:00,patricks-mbp-e88c9cf4,0x5f7447c0,1,TicToc18,2,
s4r,1,tictoc-2e1ee0fe,2021-09-17T16:26:30.050157+02:00,patricks-mbp-e88c9cf4,0x86d84bea,1,TicToc18,0,
s4r,1,tictoc-2e1ee0fe,2021-09-17T16:26:30.049573+02:00,patricks-mbp-e88c9cf4,0xa7d676f9,1,TicToc18,4,
s4r,1,tictoc-2e1ee0fe,2021-09-17T16:26:30.050187+02:00,patricks-mbp-e88c9cf4,0xd2d91c2e,1,TicToc18,1,
s4r,1,tictoc-2e1ee0fe,2021-09-17T16:26:30.050311+02:00,patricks-mbp-e88c9cf4,0x5627ddc5,1,TicToc18,5,
s4r,1,tictoc-2e1ee0fe,2021-09-17T16:26:30.049086+02:00,patricks-mbp-e88c9cf4,0xe68ce16c,1,TicToc18,3,
s4r,1,tictoc-2e1ee0fe,2021-09-17T16:26:33.350305+02:00,patricks-mbp-e88c9cf4,0xa7d676f9,2,TicToc18,4,
s4r,1,tictoc-2e1ee0fe,2021-09-17T16:26:33.388188+02:00,patricks-mbp-e88c9cf4,0x5f7447c0,2,TicToc18,2,
s4r,1,tictoc-2e1ee0fe,2021-09-17T16:26:33.40066+02:00,patricks-mbp-e88c9cf4,0xe68ce16c,2,TicToc18,3,
s4r,1,tictoc-2e1ee0fe,2021-09-17T16:26:33.41825+02:00,patricks-mbp-e88c9cf4,0xd2d91c2e,2,TicToc18,1,
s4r,1,tictoc-2e1ee0fe,2021-09-17T16:26:33.43049+02:00,patricks-mbp-e88c9cf4,0x86d84bea,2,TicToc18,0,
s4r,1,tictoc-2e1ee0fe,2021-09-17T16:26:33.47334+02:00,patricks-mbp-e88c9cf4,0x5627ddc5,2,TicToc18,5,
s4r,1,tictoc-2e1ee0fe,2021-09-17T16:26:33.542334+02:00,patricks-mbp-e88c9cf4,0x167fc0df,1,TicToc18,6,
s4r,1,tictoc-2e1ee0fe,2021-09-17T16:26:33.59556+02:00,patricks-mbp-e88c9cf4,0x429bb241,1,TicToc18,8,
s4r,1,tictoc-2e1ee0fe,2021-09-17T16:26:33.595509+02:00,patricks-mbp-e88c9cf4,0xf0d29f26,1,TicToc18,7,
s4r,1,tictoc-2e1ee0fe,2021-09-17T16:26:33.63289+02:00,patricks-mbp-e88c9cf4,0x8a98e025,1,TicToc18,10,
s4r,1,tictoc-2e1ee0fe,2021-09-17T16:26:33.630391+02:00,patricks-mbp-e88c9cf4,0xeba18ca2,1,TicToc18,9,
